0,1
HANDBOOK ON INDIAN INSURANCE STATISTICS 2021-22,
PART III: HEALTH INSURANCE,
CONTENTS,
Table No.,Particulars
,III.A: HEALTH INSURANCE BUSINESS OF GENERAL AND HEALTH INSURERS
62,"Health Insurance - Number of Policies, Number of Persons Covered and Gross Premium"
63,"Personal Accident Insurance - Number of Policies, Number of Persons Covered and Gross Premium"
64,"Overseas Travel Insurance - Number of Policies, Number of Persons Covered and Gross Premium"
65,"Domestic Travel Insurance - Number of Policies, Number of Persons Covered and Gross Premium"
66,"Health Insurance - Net Premium Earned, Incurred Claims and Incurred Claims Ratio"
67,"Personal Accident Insurance - Net Premium Earned, Incurred Claims and Incurred Claims Ratio"
68,"Overseas Travel Insurance - Net Earned Premium, Incurred Claims and Incurred Claims Ratio"
69,"Domestic Travel Insurance - Net Earned Premium, Incurred Claims and Incurred Claims Ratio"
70,Details of Claims Development and Aging - Health Insurance Business
71,State-wise Health Insurance Business
72,State-wise Individual Health Insurance Business
73,State-wise Personal Accident Insurance Business
74,State-wise Overseas Insurance Business
75,State-wise Domestic Insurance Business
76,State-wise Claims Settlement under Health Insurance Business
,III.B: HEALTH INSURANCE BUSINESS OF LIFE INSURERS
77,Health Insurance Business in respect of Products offered by Life Insurers - New Busienss
78,Health Insurance Business in respect of Products offered by Life insurers - Renewal Business
79,Health Insurance Business in respect of Riders attached to Life Insurance Products - New Business
80,Health Insurance Business in respect of Riders attached to Life Insurance Products - Renewal Business
,III.C: OTHERS
81,Network Hospital Enrolled by TPAs
82,State-wise Details on Number of Network Providers 
